tn_ved,exp_sum,exp_weight,minus_exp_sum,minus_exp_weight
01-Живые животные,1315550.6500000001,0.7100000000000001,513069.54000000015,0.2800000000000001
02-Мясо и пищевые мясные субпродукты,60473231.03,0.8599999999999999,0.0,0.0
"03-Рыба и ракообразные, моллюски и другие водные беспозвоночные",58128688.269999996,0.9500000000000001,11553902.350000001,0.19000000000000006
"04-Молочная продукция; яйца птиц; мед натуральный; пищевые продукты животного происхождения, в другом месте не поименованные или не включенные",34293986.14,0.81,0.0,0.0
"05-Продукты животного происхождения, в другом месте не поименованные или не включенные",7062112.35,0.91,4263049.0,0.55
"06-Живые деревья и другие растения; луковицы, корни и прочие аналогичные части растений; срезанные цветы и декоративная зелень",1098660.4,0.95,231546.7599999999,0.19999999999999996
07-Овощи и некоторые съедобные корнеплоды и клубнеплоды,78918559.47999999,0.6900000000000001,5242195.560000002,0.050000000000000044
08-Съедобные фрукты и орехи; кожура и корки цитрусовых или дынь,16875132.75,0.8699999999999999,10738449.79,0.5599999999999998
"09-Кофе, чай, мате, или парагвайский чай, и пряности",27471373.43,0.6600000000000001,0.0,0.0
10-Злаки,1515496063.27,0.74,104959346.63000011,0.050000000000000044
11-Продукция мукомольно-крупяной промышленности; солод; крахмал; инулин; пшеничная клейковина,26034452.17,0.55,10225798.520000001,0.22000000000000003
"12-Масличные семена и плоды; прочие семена, плоды и зерно; лекарственные растения и растения для технических целей; солома и фураж",79305812.65,0.8600000000000001,11670280.079999998,0.13
"13-Шеллак природный неочищенный; камеди, смолы и прочие растительные соки и экстракты",807755.9699999999,0.8600000000000001,59522.06999999995,0.06000000000000005
"14-Растительные материалы для изготовления плетеных изделий; прочие продукты растительного происхождения, в другом месте не поименованные или не включенные",433948.95,0.8500000000000001,235724.05,0.4600000000000001
15-Жиры и масла животного или растительного происхождения и продукты их расщепления; готовые пищевые жиры; воски животного или растительного происхождения,116490825.37,0.8,8268346.570000008,0.06000000000000005
"16-Готовые продукты из мяса, рыбы или ракообразных, моллюсков или прочих водных беспозвоночных",72565589.54,0.8200000000000001,3516900.219999999,0.040000000000000036
17-Сахар и кондитерские изделия из сахара,144937650.98,0.8200000000000001,11206550.959999979,0.06000000000000005
18-Какао и продукты из него,68703392.05999999,0.5499999999999999,0.0,0.0
"19-Готовые продукты из зерна злаков, муки, крахмала или молока; мучные кондитерские изделия",157230431.62999997,0.66,0.0,0.0
"20-Продукты переработки овощей, фруктов, орехов или прочих частей растений",44578314.949999996,0.8400000000000001,1998650.6300000027,0.040000000000000036
21-Разные пищевые продукты,165434860.83,0.7700000000000001,39575736.56000002,0.19000000000000006
22-Алкогольные и безалкогольные напитки и уксус,56543095.190000005,0.73,0.0,0.0
23-Остатки и отходы пищевой промышленности; готовые корма для животных,184932802.84,0.83,29360441.96000001,0.13
24-Табак и промышленные заменители табака,4785074.379999999,0.8300000000000001,607329.1399999992,0.1100000000000001
"25-Соль; сера; земли и камень; штукатурные материалы, известь и цемент",93167605.84,0.72,0.0,0.0
"27-Топливо минеральное, нефть и продукты их перегонки; битуминозные вещества; воски минеральные",55816055533.53,0.54,23816829013.1,0.23000000000000004
"28-Продукты неорганической химии; соединения неорганические или органические драгоценных металлов, редкоземельных металлов, радиоактивных элементов или изотопов",119111160.85,0.6500000000000001,50917314.41,0.28000000000000014
29-Органические химические соединения,382230979.71000004,0.8200000000000001,285801144.65000004,0.6100000000000001
30-Фармацевтическая продукция,775782275.21,0.45999999999999996,0.0,0.0
31-Удобрения,101087563.16,0.8,23465391.150000006,0.18000000000000005
"32-Экстракты дубильные или красильные; таннины и их производные; красители, пигменты и прочие красящие вещества; краски и лаки; шпатлевки и прочие мастики; типографская краска, чернила, тушь",92967316.8,0.6800000000000002,0.0,0.0
"33-Эфирные масла и резиноиды; парфюмерные, косметические или туалетные средства",304016182.03,0.69,26247391.870000005,0.06000000000000005
34-Моющие средства и смазочные материалы,149897851.39000002,0.81,0.0,0.0
35-Белковые вещества; модифицированные крахмалы; клеи; ферменты,17906125.42,0.8600000000000001,1034633.4299999997,0.050000000000000044
36-Взрывчатые вещества; пиротехнические изделия; спички; пирофорные сплавы; некоторые горючие вещества,0.0,,0.0,
37-Фото- и кинотовары,11930602.310000002,0.9500000000000002,139912.8900000006,0.010000000000000009
38-Прочие химические продукты,169994118.65,0.77,32311785.910000026,0.1399999999999999
39-Пластмассы и изделия из них,823875114.0,0.78,36288382.23000002,0.030000000000000027
"40-Каучук, резина и изделия из них",318468987.20000005,0.7000000000000002,73322590.33000004,0.16000000000000014
"42-Изделия из кожи; шорно-седельные изделия и упряжь; дорожные принадлежности, дамские сумки и аналогичные им товары; изделия из кишок животных (кроме волокна из фиброина шелкопряда)",27701432.610000003,0.75,6897282.080000002,0.18999999999999995
43-Натуральный и искусственный мех; изделия из него,3221698.8299999996,0.8400000000000001,1107717.8499999996,0.29000000000000004
44-Древесина и изделия из нее; древесный уголь,183909610.83999997,0.5900000000000001,56230949.17999998,0.18000000000000005
45-Пробка и изделия из нее,694245.1299999999,0.99,0.0,0.0
"46-Изделия из соломы, альфы или прочих материалов для плетения; корзиночные изделия и плетеные изделия",324859.81999999995,0.9500000000000001,12578.809999999998,0.040000000000000036
47-Масса из древесины или из других волокнистых целлюлозных материалов; регенерируемые бумага или картон (макулатура и отходы),4730302.16,0.89,2329287.4,0.44000000000000006
"48-Бумага и картон; изделия из бумажной массы, бумаги или картона",156373985.77,0.74,13103154.120000005,0.05999999999999994
"49-Печатные книги, газеты, репродукции и другие изделия полиграфической промышленности; рукописи, машинописные тексты и планы",99409492.07,0.6500000000000001,0.0,0.0
"51-Шерсть, тонкий или грубый волос животных; пряжа и ткань из конского волоса",4398013.1899999995,0.9500000000000001,293022.95999999996,0.07000000000000006
52-Хлопок,9998863.14,0.99,469379.83999999985,0.050000000000000044
53-Прочие растительные текстильные волокна; бумажная пряжа и ткани из бумажной пряжи,803218.47,1.0,4722.369999999995,0.009999999999999898
54-Химические нити,7276483.73,0.9200000000000002,333800.7400000002,0.040000000000000036
55-Химические волокна,16187398.540000001,0.9400000000000001,223876.0,0.010000000000000009
"56-Вата, войлок или фетр и нетканые материалы; специальная пряжа; бечевки, веревки, канаты и тросы и изделия из них",12033879.84,0.78,4015963.1799999997,0.26
57-Ковры и прочие текстильные напольные покрытия,1740253.06,0.8500000000000001,0.0,0.0
58-Специальные ткани; тафтинговые текстильные материалы; кружева; гобелены; отделочные материалы; вышивки,4019123.93,0.9600000000000002,72838.70999999996,0.020000000000000018
"59-Текстильные материалы, пропитанные, с покрытием или дублированные; текстильные изделия технического назначения",10294714.4,0.8599999999999999,2172920.9700000007,0.17999999999999994
60-Трикотажные полотна машинного или ручного вязания,5055985.749999999,0.98,0.0,0.0
61-Предметы одежды и принадлежности к одежде трикотажные машинного или ручного вязания,118390712.98,0.8600000000000001,5815520.910000011,0.040000000000000036
"62-Предметы одежды и принадлежности к одежде, кроме трикотажных машинного или ручного вязания",116374216.35,0.8200000000000001,9614206.409999996,0.07000000000000006
"63-Прочие готовые текстильные изделия; наборы; одежда и текстильные изделия, бывшие в употреблении; тряпье",34503385.93,0.6300000000000001,16568447.77,0.3000000000000001
"64-Обувь, гетры и аналогичные изделия; их части",152358411.56,0.9,8733533.420000017,0.06000000000000005
65-Головные уборы и их части,9812110.0,0.8800000000000001,0.0,0.0
"66-Зонты, солнцезащитные зонты, трости, трости-сиденья, хлысты, кнуты для верховой езды и их части",634794.03,0.9300000000000002,39676.47999999998,0.06000000000000005
67-Обработанные перья и пух и изделия из перьев или пуха; искусственные цветы; изделия из человеческого волоса,1248626.4799999997,0.77,322766.5599999998,0.19999999999999996
"68-Изделия из камня, гипса, цемента, асбеста, слюды или аналогичных материалов",57408356.87,0.7500000000000001,3500473.289999999,0.050000000000000044
69-Керамические изделия,32824611.45,0.8800000000000001,6705547.18,0.18000000000000005
70-Стекло и изделия из него,61909201.85,0.68,35362416.68,0.39000000000000007
"71-Жемчуг природный или культивированный, драгоценные или полудрагоценные камни, драгоценные металлы, металлы, плакированные драгоценными металлами, и изделия из них; бижутерия; монеты",16385091701.96,0.8300000000000001,16385091701.96,0.8300000000000001
72-Черные металлы,599737486.39,0.9199999999999999,139493730.52999997,0.20999999999999996
73-Изделия из черных металлов,436015077.46,0.7200000000000001,0.0,0.0
74-Медь и изделия из нее,50472249.82,0.8600000000000001,5878460.579999998,0.10000000000000009
75-Никель и изделия из него,17534598.12,0.8400000000000001,12547562.670000002,0.6000000000000001
76-Алюминий и изделия из него,457344938.54,0.9000000000000001,39533477.26999998,0.08000000000000007
78-Свинец и изделия из него,20662662.75,0.9299999999999999,11656771.469999999,0.52
79-Цинк и изделия из него,201970.37000000002,0.88,80432.86000000002,0.35
80-Олово и изделия из него,292414.3,0.93,46632.41,0.15000000000000002
81-Прочие недрагоценные металлы; металлокерамика; изделия из них,9970733.120000001,0.8,9970733.120000001,0.8
"82-Инструменты, приспособления, ножевые изделия, ложки и вилки из недрагоценных металлов; их части из недрагоценных металлов",43698871.50999999,0.7500000000000002,3135185.1599999964,0.050000000000000044
83-Прочие изделия из недрагоценных металлов,51372376.21,0.8300000000000001,11570101.0,0.18999999999999995
"84-Реакторы ядерные, котлы, оборудование и механические устройства; их части",1893744324.4699998,0.5900000000000001,319928017.5799999,0.10000000000000009
"85-Электрические машины и оборудование, их части; звукозаписывающая и звуковоспроизводящая аппаратура, аппаратура для записи и воспроизведения телевизионного изображения и звука, их части и принадлежности",1091465059.66,0.5899999999999999,0.0,0.0
"86-Железнодорожные локомотивы или моторные вагоны трамвая, подвижной состав и их части; путевое оборудование и устройства для железных дорог или трамвайных путей и их части; механическое (включая электромеханическое) сигнальное оборудование всех видов",71766457.98,0.81,11553704.000000007,0.13000000000000012
"87-Средства наземного транспорта, кроме железнодорожного или трамвайного подвижного состава, и их части и принадлежности",529104145.6,0.8300000000000001,23634798.27999997,0.040000000000000036
"89-Суда, лодки и плавучие конструкции",54121518.68000001,0.89,6940444.480000004,0.10999999999999999
"90-Инструменты и аппараты оптические, фотографические, кинематографические, измерительные, контрольные, прецизионные, медицинские или хирургические; их части и принадлежности",327326282.67999995,0.58,48419479.379999995,0.08999999999999997
91-Часы всех видов и их части,14559763.73,0.8400000000000001,6097446.190000001,0.3500000000000001
92-Инструменты музыкальные; их части и принадлежности,8396066.79,0.97,353731.25999999885,0.040000000000000036
"94-Мебель, осветительная техника",100925598.06,0.7200000000000001,9512330.459999993,0.07000000000000006
"95-Игрушки, игры и спортивный инвентарь; их части и принадлежности",98101218.92,0.8500000000000001,7996301.679999992,0.07000000000000006
96-Разные готовые изделия,60061309.54,0.8,3216915.329999998,0.040000000000000036
"97-Произведения искусства, предметы коллекционирования и антиквариат",1307294.98,0.77,621014.71,0.37
SS-Секретный код,35972599909.19,0.54,29663716414.86,0.45000000000000007
"26-Руды, шлак и зола",280014941.65,0.99,258237226.65999997,0.91
41-Hеобработанные шкуры (кроме натурального меха) и выделанная кожа,4926893.37,0.9600000000000001,708264.8700000001,0.14
50-Шелк,21202.460000000003,1.0,135.77000000000044,0.009999999999999898
