tn_ved,country,country_sum_2022,period,country_sum_2021
"1601001000-Готовые пищевые продукты, изготовленные из печени",KZ-КАЗАХСТАН,318144.0,2022,110393.53
"1601009100-Колбасы, сухие или пастообразные, cырые",KZ-КАЗАХСТАН,853888.0,2022,1830707.98
"1601009900-Прочие готовые пищевые продукты, изготовленные из мяса и мясных субпродуктов или крови",KZ-КАЗАХСТАН,8704768.0,2022,30145337.85
"1602100010-Гомогенизированные готовые продукты из мяса, мясных субпродуктов или крови для детского питания",BY-БЕЛАРУСЬ,421248.0,2022,518400.96
1602201000-Готовые или консервированные продукты из гусиной и утиной печени,KZ-КАЗАХСТАН,286464.0,2022,101030.12
"1602209000-Прочие готовые или консервированные, продукты из печени любых животных",KZ-КАЗАХСТАН,444992.0,2022,500790.63
"1602311900-Прочие готовые изделия и консервы, содержащие 57 мас.% или более мяса индейки",VN-ВЬЕТНАМ,122560.0,2022,162707.28
1602318000-Прочие готовые или консервированные продукты из индейки прочие,KZ-КАЗАХСТАН,275904.0,2022,24404.98
"1602321100-Готовые или консервированные продукты из домашней птицы вида gallus domesticus, товарной позиции 0105, содержащие 57 мас.% или более сырого мяса домашней птицы или субпродуктов",KZ-КАЗАХСТАН,986624.0,2022,4680626.98
"1602321900-Готовые или консервированные продукты из мяса домашней птицы вида gallus domesticus, товарной позиции 0105, содержащие 57 мас.% или более прочего мяса домашней птицы или субпродуктов",KZ-КАЗАХСТАН,778432.0,2022,1037009.46
"1602323000-Готовые или консервированные продукты из домашней птицы вида galus domesticus, товарной позиции 0105, содержащие 25 мас.% или более, но менее 57 мас.% мяса домашней птицы или субпродуктов",KZ-КАЗАХСТАН,847488.0,2022,2195321.07
"1602329000-Прочие готовые или консервированные продукты из мяса домашней птицы вида gallus domesticus, товарной позиции 0105",KZ-КАЗАХСТАН,497984.0,2022,87323.97
"1602392900-Прочие готовые или консервированные продукты из домашней птицы. товарной позиции 0105, содержащие 57 мас.% или более прочего мяса домашней птицы или субпродуктов","MD-МОЛДОВА, РЕСПУБЛИКА",79104.0,2022,92585.75
"1602394000-Прочие готовые или консервированные продукты из домашней птицы товарной позиции 0105, содержащие 25% или более, но не менее 57% мяса домашней птицы или субпродуктов",AB-АБХАЗИЯ,147840.0,2022,0.0
1602398000-Прочие готовые или консервированные продукты из домашней птицы товарной позиции 0105,AB-АБХАЗИЯ,105152.0,2022,0.0
"1602398500-Прочие готовые или консервированные продукты из мяса, мясных",BY-БЕЛАРУСЬ,99520.0,2022,19408.8
1602411000-Готовые или консервированные продукты из окорока и их отруба домашней свиньи,KZ-КАЗАХСТАН,316544.0,2022,17181.01
1602421000-Готовые изделия и консервы из лопаточных частей и их отрубов домашней свиньи,AZ-АЗЕРБАЙДЖАН,0.0,2022,117.38
"1602491100-Изделия и консервы из филейных частей свиньи (исключая шейные части) и ихотруба, включая смеси филейных частей или окороков,содер 80 мас.% или более мяса люб.вида,включая жиры любого вида и происхожд.",BY-БЕЛАРУСЬ,102016.0,2022,68788.96
"1602491300-Изделия и консервы из шейной части и ее отруба, включая смеси шейных лопаточных частей свиньи, содержащие 80 мас.% или более мяса или субпродуктов любого вида,включая жиры любого вида и происхождения",AM-АРМЕНИЯ,76608.0,2022,478.75
"1602491500-Прочие изделия и консервы из смесей,содержащие окорока,лопаточные,филейные или шейные части и их отруба домашней свиньи,содерж 80 мас.% и более мяса или субпродуктов,включая жиры любого вида и происх.",AM-АРМЕНИЯ,72832.0,2022,3433.84
"1602491900-Прочие изделия и консервы из прочих смесей частей домашней свиньи, содержащие 80 мас.% мяса или субпродуктов, включая жиры любого вида и происхождения",KZ-КАЗАХСТАН,486912.0,2022,750602.86
"1602493000-Прочие изделия и консервы из смесей частей свиньи, содержащие 40 мас.%и более,но менее 80 мас.% мяса или субпродуктов любого вида, включая жиры любого вида и происхождения",KZ-КАЗАХСТАН,368704.0,2022,495151.8
"1602495000-Прочие изделия и консервы из смесей частей домашней свиньи, содержащие менее 40 мас.% мяса или мясных субпродуктов любого вида, включая жиры любого вида и присхождения",KZ-КАЗАХСТАН,263360.0,2022,36859.85
1602499000-Прочие изделия и консервы из прочих смесей мяса свиньи и мясных субпродуктов,KZ-КАЗАХСТАН,326720.0,2022,134760.13
"1602501000-Изделия и консервы, изготовленные из мяса крупного рогатого скота, смеси отварного мяса или субпродуктов и сырого мяса или субпродуктов",KZ-КАЗАХСТАН,419584.0,2022,103690.34
"1602509501-Прочие готовые или консервированные продукты из мяса крупного рогатого скота, в герметичных контейнерах",OS-ЮЖНАЯ ОСЕТИЯ,330944.0,2022,307714.2
1602509509-Прочие готовые или консервированные продукты из мяса крупного рогатого скота,AZ-АЗЕРБАЙДЖАН,1282816.0,2022,3256696.05
"1602905100-Прочие готовые и консервированные продукты из крови любых животных, содержащие мясо или мясные субпродукты из домашней свиньи",KZ-КАЗАХСТАН,266752.0,2022,853.2
"1602906100-Прочие готовые и консервированные продукты питания, содержащие смеси из отварного мяса или субпродуктов и сырого мяса или субпродуктов крупного рогатого скота",BY-БЕЛАРУСЬ,118720.0,2022,2884.09
"1602906900-Прочие готовые и консервированные продукты из крови любых животных, содержащие прочее мясо крупного рогатого скота или субпродукты",HK-ГОНКОНГ,584192.0,2022,55243.79
"1602907600-Прочие, включая готовые продукты или консервы из крови баранины",AB-АБХАЗИЯ,129280.0,2022,0.0
1602909100-Прочие готовые и консервированные продукты из крови баранины,KZ-КАЗАХСТАН,297088.0,2022,12.28
"1602909900-Прочие, включая готовые продукты из крови любых животных прочие",KZ-КАЗАХСТАН,288256.0,2022,23432.8
"1604110000-Готовые продукты и консервы из лосося, приготовленного целиком или в кусках, но не фаршированного",BY-БЕЛАРУСЬ,61696.0,2022,23255.63
