,tn_ved,perod,1_country,1_country_sum,1_country_weight,2_country,2_country_sum,2_country_weight,3_country,3_country_sum,3_country_weight,4_country,4_country_sum,4_country_weight,5_country,5_country_sum,5_country_weight
0,01-Живые животные,2015,CN-КИТАЙ,1272701.11,0.74,"KP-КОРЕЯ, НАРОДНО-ДЕМОКРАТИЧ.РЕСПУБЛ.",193720.68,0.11,AZ-АЗЕРБАЙДЖАН,121726.37,0.07,HK-ГОНКОНГ,65000.0,0.04,PL-ПОЛЬША,23900.81,0.01
1,01-Живые животные,2016,CN-КИТАЙ,1845262.18,0.88,JP-ЯПОНИЯ,104600.0,0.05,HU-ВЕНГРИЯ,93208.61,0.04,DE-ГЕРМАНИЯ,20832.34,0.01,"KP-КОРЕЯ, НАРОДНО-ДЕМОКРАТИЧ.РЕСПУБЛ.",10000.0,0.0
2,01-Живые животные,2017,CN-КИТАЙ,1645852.6,0.97,HU-ВЕНГРИЯ,21701.2,0.01,AE-ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ,7000.0,0.0,PL-ПОЛЬША,5466.0,0.0,LV-ЛАТВИЯ,5039.7,0.0
3,01-Живые животные,2018,CN-КИТАЙ,296936.66,0.51,TJ-ТАДЖИКИСТАН,136274.89,0.24,GE-ГРУЗИЯ,43365.83,0.08,MN-МОНГОЛИЯ,18686.11,0.03,BY-БЕЛАРУСЬ,16853.58,0.03
4,01-Живые животные,2019,CN-КИТАЙ,508617.0,0.54,UZ-УЗБЕКИСТАН,97924.67,0.1,KP-КОРЕЯ НАРОДНО-ДЕМОКРАТИЧ. РЕСПУБЛИКА,75589.97,0.08,FR-ФРАНЦИЯ,40371.2,0.04,NL-НИДЕРЛАНДЫ,38878.61,0.04
5,01-Живые животные,2020,DE-ГЕРМАНИЯ,76459.78,0.15,LV-ЛАТВИЯ,69327.06,0.13,HU-ВЕНГРИЯ,57915.78,0.11,"KR-КОРЕЯ, РЕСПУБЛИКА",42700.58,0.08,QA-КАТАР,33000.0,0.06
6,01-Живые животные,2021,AZ-АЗЕРБАЙДЖАН,726781.11,0.39,NL-НИДЕРЛАНДЫ,278116.68,0.15,DE-ГЕРМАНИЯ,164190.14,0.09,UZ-УЗБЕКИСТАН,75700.0,0.04,HU-ВЕНГРИЯ,70762.72,0.04
7,02-Мясо и пищевые мясные субпродукты,2015,HK-ГОНКОНГ,3995218.36,0.51,VN-ВЬЕТНАМ,2010466.33,0.25,BY-БЕЛАРУСЬ,911757.62,0.12,KG-КЫРГЫЗСТАН,312195.25,0.04,UA-УКРАИНА,295157.38,0.04
8,02-Мясо и пищевые мясные субпродукты,2016,HK-ГОНКОНГ,11243183.46,0.48,VN-ВЬЕТНАМ,8297337.14,0.35,BY-БЕЛАРУСЬ,1501763.14,0.06,KZ-КАЗАХСТАН,473492.89,0.02,UA-УКРАИНА,434011.59,0.02
9,02-Мясо и пищевые мясные субпродукты,2017,VN-ВЬЕТНАМ,15349533.4,0.34,HK-ГОНКОНГ,15321433.4,0.34,KZ-КАЗАХСТАН,5174352.3,0.12,UA-УКРАИНА,4754976.7,0.11,BY-БЕЛАРУСЬ,1416084.2,0.03
10,02-Мясо и пищевые мясные субпродукты,2018,VN-ВЬЕТНАМ,25384860.02,0.44,HK-ГОНКОНГ,10526392.85,0.18,IR-ИРАН ИСЛАМСКАЯ РЕСПУБЛИКА,8388009.14,0.15,KZ-КАЗАХСТАН,5780484.1,0.1,KG-КЫРГЫЗСТАН,2227552.84,0.04
11,02-Мясо и пищевые мясные субпродукты,2019,IR-ИРАН ИСЛАМСКАЯ РЕСПУБЛИКА,16409483.0,0.23,KZ-КАЗАХСТАН,10997466.05,0.15,CN-КИТАЙ,10868310.72,0.15,NNN-НЕИЗВЕСТНАЯ СТРАНА,8028734.05,0.11,HK-ГОНКОНГ,7558096.63,0.11
12,02-Мясо и пищевые мясные субпродукты,2020,KZ-КАЗАХСТАН,26258195.91,0.32,HK-ГОНКОНГ,13442119.41,0.16,CN-КИТАЙ,12922661.99,0.16,NNN-НЕИЗВЕСТНАЯ СТРАНА,11318455.67,0.14,BY-БЕЛАРУСЬ,4762403.14,0.06
13,02-Мясо и пищевые мясные субпродукты,2021,KZ-КАЗАХСТАН,32030386.93,0.46,CN-КИТАЙ,11366238.81,0.16,UZ-УЗБЕКИСТАН,6669565.79,0.09,BY-БЕЛАРУСЬ,5584782.85,0.08,AM-АРМЕНИЯ,4822256.65,0.07
14,"03-Рыба и ракообразные, моллюски и другие водные беспозвоночные",2015,BY-БЕЛАРУСЬ,13459731.86,0.7,UA-УКРАИНА,2775874.98,0.14,KZ-КАЗАХСТАН,612141.41,0.03,JP-ЯПОНИЯ,566736.25,0.03,LT-ЛИТВА,376272.3,0.02
15,"03-Рыба и ракообразные, моллюски и другие водные беспозвоночные",2016,BY-БЕЛАРУСЬ,19485586.98,0.43,UA-УКРАИНА,9457435.91,0.21,NL-НИДЕРЛАНДЫ,8100791.01,0.18,KZ-КАЗАХСТАН,4771365.69,0.11,US-СОЕДИНЕННЫЕ ШТАТЫ,497790.27,0.01
16,"03-Рыба и ракообразные, моллюски и другие водные беспозвоночные",2017,BY-БЕЛАРУСЬ,22093378.6,0.46,UA-УКРАИНА,13046011.4,0.27,NL-НИДЕРЛАНДЫ,3492917.7,0.07,KZ-КАЗАХСТАН,3066067.9,0.06,NO-НОРВЕГИЯ,1971252.8,0.04
17,"03-Рыба и ракообразные, моллюски и другие водные беспозвоночные",2018,BY-БЕЛАРУСЬ,31582995.81,0.59,UA-УКРАИНА,12239745.14,0.23,KZ-КАЗАХСТАН,5303946.53,0.1,CN-КИТАЙ,1444376.24,0.03,US-СОЕДИНЕННЫЕ ШТАТЫ,750829.51,0.01
18,"03-Рыба и ракообразные, моллюски и другие водные беспозвоночные",2019,BY-БЕЛАРУСЬ,30336526.32,0.55,UA-УКРАИНА,10999971.86,0.2,KZ-КАЗАХСТАН,4987517.3,0.09,"KR-КОРЕЯ, РЕСПУБЛИКА",2698857.38,0.05,NL-НИДЕРЛАНДЫ,1352723.28,0.02
